scenario,controller,hz,rms_rad,rms_after_1s_rad,peak_rad,peak_after_1s_rad,iae_rad_s,peak_command_nm,saturation_ratio,command_total_variation_nm_s
hold_load,linear,1000,0.04539121606099643,0.0020165053104268813,0.35,0.00238095259,0.05277193698173521,0.5,0.0026,0.3031124343175432
hold_load,regularized_terminal,1000,0.043777000850830014,0.0009083713903094031,0.35,0.00105984317,0.04300364279811037,0.5,0.004,0.31963385622000373
sine_tracking,linear,1000,0.0017675114853339129,0.0005578166162134794,0.0159416509,0.000788878538,0.004722505331870138,0.441902608,0.0,0.2939504299166663
sine_tracking,regularized_terminal,1000,0.0011661843092389465,0.0002787332072960955,0.0133714654,0.000394199543,0.002371354828361503,0.5,0.0013333333333333333,0.321438538600001
heavy_disturbance,linear,1000,0.05178146639567646,0.0020428583162241496,0.35,0.00305059873,0.06212243050086499,0.5,0.0056,1.3880774880756006
heavy_disturbance,regularized_terminal,1000,0.0505004131599348,0.0009287628530735511,0.35,0.00141536904,0.05278368620940004,0.5,0.008,2.022222673665595
sample_rate,linear,500,0.002387452035456563,0.001449570942140889,0.0190618147,0.00239275386,0.009092596731980084,0.443111002,0.0,1.883110553393835
sample_rate,regularized_terminal,500,0.0015459635377579415,0.0006635040010158601,0.0168055795,0.00117289706,0.004320061229336841,0.5,0.0016666666666666668,4.112913173598567
sample_rate,linear,1000,0.002402256347968938,0.001449667053468854,0.0191429696,0.00238970374,0.009115356609583647,0.44336015,0.0,1.88723478201807
sample_rate,regularized_terminal,1000,0.001559532098757186,0.0006626730820328059,0.0168896265,0.00115540433,0.004334548990305685,0.5,0.0018333333333333333,3.2466214058813385
sample_rate,linear,2000,0.0024099068585241384,0.0014497286198504743,0.019184966,0.00238857877,0.009127026479092132,0.443498552,0.0,1.920735770300526
sample_rate,regularized_terminal,2000,0.0015667138511685583,0.0006624881535514278,0.0169279243,0.00115000692,0.004342428116499059,0.5,0.00175,3.037775879163405
