model,axis,motor,controller,reference,hz,inertia_scale,gravity_ff_scale,nominal_inertia_kg_m2,plant_inertia_kg_m2,required_peak_nm,available_wire_nm,status,reason,samples,evaluation_samples,rms_rad,rms_after_1s_rad,peak_rad,peak_after_1s_rad,peak_request_nm,peak_wire_nm,peak_actuator_nm,saturation_ratio,adapter_clamp_ratio,wire_total_variation_nm,wire_total_variation_nm_per_s,min_angle_rad,max_angle_rad,final_error_rad,joint_min_rad,joint_max_rad,gravity_sin_nm,gravity_cos_nm
rmoss_rmua19,yaw,GM6020,linear,hold,500,0.5,1,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.00366463106,0.00264552298,0.03,0.00457207123,0.159738034,0.159696716,0.145004805,0,0,122.956974,20.492829,-0.00457215217,0.03,-0.00247986851,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,500,0.5,0.8,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.00366463106,0.00264552298,0.03,0.00457207123,0.159738034,0.159696716,0.145004805,0,0,122.956974,20.492829,-0.00457215217,0.03,-0.00247986851,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,500,0.5,1,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.00281653143,0.00183056094,0.03,0.00351471326,0.192019939,0.191988831,0.173849221,0,0,139.414826,23.2358044,-0.00353016998,0.03,-0.000319864967,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,hold,500,0.5,0.8,0.00608000833333,0.00304000416667,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.00281653143,0.00183056094,0.03,0.00351471326,0.192019939,0.191988831,0.173849221,0,0,139.414826,23.2358044,-0.00353016998,0.03,-0.000319864967,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,500,0.5,1,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,3000,2500,0.00244584689,0.00266315927,0.00467862759,0.00467862759,0.163622156,0.16363147,0.146692159,0,0,123.081665,20.5136108,-0.103828257,0.100130173,-0.00138951843,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,sine,500,0.5,0.8,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,3000,2500,0.00244584689,0.00266315927,0.00467862759,0.00467862759,0.163622156,0.16363147,0.146692159,0,0,123.081665,20.5136108,-0.103828257,0.100130173,-0.00138951843,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,500,0.5,1,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,3000,2500,0.00169820101,0.00183543795,0.00359249889,0.00359249889,0.192273527,0.192260193,0.167547475,0,0,139.578322,23.2630537,-0.103085605,0.100578889,-0.00146664635,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,regularized_terminal,sine,500,0.5,0.8,0.00608000833333,0.00304000416667,0.054123569441,0.999970092773,PASS,OK,3000,2500,0.00169820101,0.00183543795,0.00359249889,0.00359249889,0.192273527,0.192260193,0.167547475,0,0,139.578322,23.2630537,-0.103085605,0.100578889,-0.00146664635,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,500,1,1,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.0032877619,0.00184271169,0.03,0.0030565418,0.143488199,0.143550659,0.132951438,0,0,6.63168768,1.10528128,-0.0030565418,0.03,-0.00130175653,-0.5,0.5,0,0
rmoss_rmua19,yaw,GM6020,linear,hold,500,1,0.8,0.00608000833333,0.00608000833333,0.0499999998421,0.999970092773,PASS,OK,3000,2500,0.0032877619,0.00184271169,0.03,0.0030565418,0.143488199,0.143550659,0.132951438,0,0,6.63168768,1.10528128,-0.0030565418,0.03,-0.00130175653,-0.5,0.5,0,0
